"targets","layer","name","description","citation","units","filename","fld_value","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique"
"NP pressures","rnk_np_weights_combo","Harvest of marine resources: weights","Weighting of marine resource harvest","5.51-5.53","tons","np_weight_combo_2013a_updated_lyr.csv","weight",,,,,,,FALSE,,,,,,,
"pressures","cc_acid","Ocean acidification","Modeled distribution of the aragonite saturation state (AAS) of the ocean in pre-industrial (~1870) and modern times (2000-2009) from Halpern et al. 2008","5.56","pressure score","cc_acid_2013.csv","pressure_score",,,,,,,FALSE,,,,,,,
"pressures","cc_slr","Sea level rise","Modeled sea level rise after Halpern et al. 2008","5.63","pressure score","cc_slr_2013.csv","pressure_score",,,,,,,FALSE,,,,,,,
"pressures","cc_sst","Sea surface temperature (SST) anomalies","Modeled sea level rise after Halpern et al. 2008","5.64","pressure score","cc_sst_2013.csv","pressure_score",,,,,,,FALSE,,,,,,,
"pressures","cc_uv","UV radiation","Modeled UV radiation after Halpern et al. 2008","5.76","pressure score","cc_uv_2013.csv","pressure_score",,,,,,,FALSE,,,,,,,
"pressures","fp_art_hb","High bycatch caused by artisanal fishing ","The presence of destructive artisanal blast and poison (cyanide) fishing","5.02","pressure score","p_fp_art_hb_disaggregateNature2012.csv","pressures.score",,,,,,,FALSE,,,,,,,
"pressures","fp_art_lb","Low bycatch caused by artisanal fishing ","Statistics of low bycatch artisanal fishing using non-destructive practices","5.03","pressure score","fp_art_lb_2013.csv","pressure_score",,,,,,,FALSE,,,,,,,
"pressures","fp_com_hb","High bycatch caused by commercial fishing ","Statistics of destructive commercial fishing practices by 5 different gear types (developed in Halpern et al. 2008)","5.11","pressure score","fp_com_hb_2013.csv","pressure_score",,,,,,,FALSE,,,,,,,
"pressures","fp_com_lb","Low bycatch caused by commercial fishing ","Statistics of least destructive commercial fishing practices by 2 different gear types (developed in Halpern et al. 2008)","5.12","pressure score","fp_com_lb_2013.csv","pressure_score",,,,,,,FALSE,,,,,,,
"pressures","fp_targetharvest","Targeted harvest of cetaceans and sea turtles","Targeted harvest of cetaceans and marine turtles, from Food and Agricultural Organization data","5.7","pressure score","rgn_fao_targeted_2013a_rescaled.csv","score",,,,,,,FALSE,,,,,,,
"pressures","hd_intertidal","Coastal population density as a proxy for intertidal habitat destruction","Coastal population density within 10 km of the coast","5.25","pressure score","hd_intertidal_2013.csv","pressure_score",,,,,,,FALSE,,,,,,,
"pressures","hd_subtidal_hb","High bycatch artisanal fishing practices as a proxy for subtidal hard bottom habitat destruction","The presence of destructive artisanal blast and poison (cyanide) fishing","5.26","pressure score","p_hd_subtidal_hb_v2013a.csv","value",,,,,,,FALSE,,,,,,,
"pressures","hd_subtidal_sb","High bycatch commercial fishing practices as a proxy for subtidal soft bottom habitat destruction","Spatially distributed commercial catch data by fishing gear type, developed by Sea Around Us Project","5.27","pressure score","po_rgn_hd_subtidal_sb_2013a.csv","pressures.score",,,,,,,FALSE,,,,,,,
"pressures","po_chemicals","Ocean-based chemical pollution","Ocean-based chemical pollution from commercial shipping traffic and ports and harbors","5.08","pressure score","po_chemicals_2013.csv","pressure_score",,,,,,,FALSE,,,,,,,
"pressures","po_chemicals_3nm","Land-based chemical pollution","Land-based organic pollution at 1km2 resolution (as developed in Halpern et al. 2008)","5.06-5.07","pressure score","po_chemicals_3nm_2013.csv","pressure_score",,,,,,,FALSE,,,,,,,
"pressures","po_nutrients","Ocean nutrient pollution","Modeled ocean nutrient pollution based on Halpern et al. 2008","5.55","pressure score","po_nutrients_2013.csv","pressure_score",,,,,,,FALSE,,,,,,,
"pressures","po_nutrients_3nm","Coastal nutrient pollution","Modeled coastal nutrient pollution based on Halpern et al. 2008","5.55","pressure score","po_nutrients_3nm_2013.csv","pressure_score",,,,,,,FALSE,,,,,,,
"pressures","po_pathogens","Access to improved sanitation as a proxy for pathogen pollution","Percent of population with access to improved sanitation facilities ","5.57","pressure score","po_pathogens_sanitation2011_popninland25km2013.csv","pressure_score",,,,,,,FALSE,,,,,,,
"pressures","po_trash","Trash pollution","Density of trash from coastal land and sea","5.73","pressure score","po_trash2012.csv","pressure_score",,,,,,,FALSE,,,,,,,
"pressures","sp_alien","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion","5.01","pressure score","p_sp_alien_2013a.csv","pressures.score",,,,,,,FALSE,,,,,,,
"pressures","sp_genetic","Introduced species as a proxy for genetic escapes ","Statistics on native or introduced species from the Mariculture Sustainibility Index (MSI)","5.22","pressure score","GenEsc_v2013a.csv","pressures.score",,,,,,,FALSE,,,,,,,
"pressures","ss_wgi","Weakness of governance indicated with the WGI","Inverse of World Governance Indicators (WGI) six combined scores","5.77","pressure score","rgn_wb_wgi_2013a_rescaled_inverse.csv","score",,,,,,,FALSE,,,,,,,
"spatial","cn_cntry_rgn","Regions per country","regions per country","","region id","cntry_rgn_2013.csv","rgn_id",,,,,,,FALSE,,,,,,,
"spatial","cnk_cntry_georegions","Georegion ids per country, at 3 georegion levels","georegions per country, at 3 georegion levels","","georegion id","cntry_georegions_long_2013b.csv","georgn_id",,,,,,,FALSE,,,,,,,
"spatial","rn_rgn_area","Region area of total EEZ ocean","region in water area","","km^2","rgn_fao_gcs_area.csv","area_km2",,,,,,,FALSE,,,,,,,
"spatial","rn_rgn_area_inland1km","Regoin area 1mi inland","inland area 1 mile from shore","","km^2","rgn_area_inland1km.csv","area_km2",,,,,,,FALSE,,,,,,,
"spatial","rn_rgn_area_offshore3nm","Regoin area offshore 3nm","offshore area 3 nautical miles from shore","","km^2","rgn_area_offshore3nm.csv","area_km2",,,,,,,FALSE,,,,,,,
"spatial","rnk_rgn_georegions","Georegion ids per region, at 3 georegion levels","georegions per region, at 3 georegion levels","","georegion id","rgn_georegions_long_2013b.csv","georgn_id",,,,,,,FALSE,,,,,,,
"spatial","rtk_rgn_georegion_labels","Georegion labels per region, at 3 georegion levels","georegions per region, at 3 georegion levels","","label","rgn_georegions_labels_long_2013b.csv","label",,,,,,,FALSE,,,,,,,
"spatial","rnk_rgn_global","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","","label","rgn_global.csv","label",,,,,,,FALSE,,,,,,,
"spatial","rtk_rgn_labels","regions by type (eez, subocean, unclaimed) and label","regions by type (eez, subocean, unclaimed) and label","","label","rgn_labels.csv","label",,,,,,,FALSE,,,,,,,
"resilience","alien_species","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion","5.01","resilience score","r_alien_species_Nature2012disaggregated.csv","resilience score",,,,,,,FALSE,,,,,,,
"resilience","cites","Resilience from commitment to CITES","Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories","5.15","resilience score","r_cites_2013a.csv","resilience score",,,,,,,FALSE,,,,,,,
"resilience","fishing_v1","CBD survey: coastal fishing v1","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","5.14","resilience score","r_fishing_v1_2013a.csv","resilience score",,,,,,,FALSE,,,,,,,
"resilience","fishing_v1_eez","CBD survey: ocean fishing v1","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","5.14","resilience score","r_fishing_v1_eez_2013a.csv","resilience score",,,,,,,FALSE,,,,,,,
"resilience","fishing_v2_eez","CBD survey: ocean fishing v2","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","5.14","resilience score","r_fishing_v2_eez_2013a.csv","resilience score",,,,,,,FALSE,,,,,,,
"resilience","fishing_v3","CBD survey: coastal fishing v3","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","5.14","resilience score","r_fishing_v3_2013a.csv","resilience score",,,,,,,FALSE,,,,,,,
"resilience","fishing_v3_eez","CBD survey: ocean fishing v3","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","5.14","resilience score","r_fishing_v3_eez_2013a.csv","resilience score",,,,,,,FALSE,,,,,,,
"resilience","habitat","CBD survey: habitat","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","5.14","resilience score","r_habitat_2013a.csv","resilience score",,,,,,,FALSE,,,,,,,
"resilience","habitat_combo","CBD survey: coastal habitat","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","5.14","resilience score","r_habitat_combo_2013a.csv","resilience score",,,,,,,FALSE,,,,,,,
"resilience","habitat_combo_eez","CBD survey: ocean habitat","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","5.14","resilience score","r_habitat_combo_eez_2013a.csv","resilience score",,,,,,,FALSE,,,,,,,
"resilience","li_gci","GCI: competitiveness in achieving sustained economic prosperity","Global Competitiveness Index (GCI) scores (score)","5.23","resilience score","rgn_wef_gci_2013a_rescaled.csv","score",,,,,,,FALSE,,,,,,,
"resilience","li_sector_evenness","Sector evenness as a measure of economic diversity","Shannon's Diversity Index calculated sector evenness based on the total number of sectors and the proportion of jobs belonging to any sector","5.66","resilience score","r_li_sector_evenness_2013a.csv","resilience score",,,,,,,FALSE,,,,,,,
"resilience","mariculture","CBD survey: mariculture","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","5.14","resilience score","r_mariculture_2013a.csv","resilience score",,,,,,,FALSE,,,,,,,
"resilience","msi_gov"," MSI sustainability and regulations","Mariculture practice assessment criteria from the Mariculture Sustainability Index (MSI)","5.33","resilience score","r_msi_gov_2013a.csv","resilience score",,,,,,,FALSE,,,,,,,
"resilience","species_diversity","Ocean ecological integrity","Marine species diversity as a proxy for ecological integrity: ocean","5.18","resilience score","rgn_spp_score_2013.csv","score",,,,,,,FALSE,,,,,,,
"resilience","species_diversity_3nm","Coastal ecological integrity","Marine species diversity as a proxy for ecological integrity: coastal","5.18","resilience score","rgn_spp_score_offshore3nm_2013.csv","score",,,,,,,FALSE,,,,,,,
"resilience","tourism","CBD survey: tourism","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","5.14","resilience score","r_tourism_2013a.csv","resilience score",,,,,,,FALSE,,,,,,,
"resilience","water","CBD survey: water","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","5.14","resilience score","r_water_2013a.csv","resilience score",,,,,,,FALSE,,,,,,,
"resilience","wgi_all","Strength of governance indicated with the WGI","World Governance Indicators (WGI) six combined scores","5.77","resilience score","rgn_wb_wgi_2013a_rescaled.csv","score",,,,,,,FALSE,,,,,,,
"SPP","rn_spp_status","Species lists and IUCN threat categories as a proxy for iconic species status","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","5.29","status score","rgn_spp_score_2013.csv","score",,,,,,,FALSE,,,,,,,
"SPP","rn_spp_trend","Species lists and IUCN threat categories as a proxy for iconic species trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","5.29","trend score","rgn_spp_trend_2013.csv","score",,,,,,,FALSE,,,,,,,
"TR","rn_tr_status","Modeled tourism status","Modeled tourism status with updated approach","5.75","status score","TourRec_Status_2013a_Sep23b.csv","status",,,,,,,FALSE,,,,,,,
"TR","rn_tr_trend","Modeled tourism trend","Modeled tourism trend with updated approach","5.75","trend score","TourRec_Trend_2013a_Sep23b.csv","trend",,,,,,,FALSE,,,,,,,
"LIV ECO","rn_liveco_status","Modeled livelihoods and economies status","Modeled livelihoods and economies status based on new approach","5.41-5.46","status score","rgn_liv.eco_status_2013a.csv","value",,,,,,,FALSE,,,,,,,
"LIV ECO","rn_liveco_trend","Modeled livelihoods and economies trend","Modeled livelihoods and economies trend based on new approach","5.41-5.46","trend score","rgn_liv.eco_trend_2013a.csv","value",,,,,,,FALSE,,,,,,,
"LIV ECO","rny_le_popn","Total population by subregion","Population data from The World Bank","5.71","count","rgn_wb_pop_2013a_updated.csv","count",,,,,,,FALSE,,,,,,,
